abox_Sk|585653795/143-204 abox
bsx_Sk|259013247/107-168 bsx
bsx_Xb|g10210.t1/131-192 bsx
bsx_Ct|ELU12043.1/82-143 bsx
bsx_Cg|762144117/108-169 bsx
bsx_Pa|g6186.t1/120-181 bsx
bsx_Sp|780131128/6-67 bsx
bsx_Sp|780131239/267-328 bsx
ccdx_m_vir|scaffold321.g5.t1/140-201 ccdx
ccdx_a_aur|scaffold56.g38.t1/151-212 ccdx
ccdx_m_vir|scaffold321.g6.t1/155-216 ccdx
ccdx_c_hem|XLOC_040366/205-266 ccdx
cdx_Sk|585710483/183-244 cdx
cdx_Pa|g9197.t1/170-231 cdx
cdx_Cg|762163919/175-236 cdx
cdx_Hs|CDX2/194-255 cdx
cdx_Pc|957837595/30-91 cdx
cdx_Sp|390352056/186-247 cdx
cdx_Ac|871228059/218-279 cdx
cdx_Hs|CDX1/154-215 cdx
cdx_La|919103334/204-265 cdx
cdx_Ci|118343697/215-276 cdx
cdx_Dm|cad/291-352 cdx
cdx_Hs|CDX4/173-234 cdx
cdx_Bf|XP_002598185.1/7-68 cdx
cdx_Ct|ELT98643.1/242-303 cdx
cdx_Ce|pal-1/206-267 cdx
cven_Nv|NVE4495/120-181 cven
cven_Pd|XP_027043211.1/98-159 cven
cven_Of|1176079935/97-158 cven
cven_Ep|XP_020898175.1/87-148 cven
cven_d_gig|g26814.t1/96-157 cven
cven_d_gig|g26813.t1/84-145 cven
cven_d_gig|g32499.t1/86-147 cven
cven_d_gig|g26816.t1/99-160 cven
dbx_Sk|259013251/167-228 dbx
dbx_Sp|780180345/383-444 dbx
dbx_La|919063816/284-345 dbx
dbx_Dm|Dbx/434-495 dbx
dbx_Pa|g11114.t1/189-250 dbx
dbx_Cg|762129869/188-249 dbx
dbx_Ct|ELT91289.1/270-331 dbx
dbx_Hs|DBX1/181-242 dbx
dbx_Ci|198419291/273-334 dbx
dbx_Bf|XP_002608529.1/185-246 dbx
dbx_Hs|DBX2/186-247 dbx
dlx_Sk|259013253/124-185 dlx
dlx_Ct|ELU07962.1/137-198 dlx
dlx_Cg|762117433/118-179 dlx
dlx_Pa|g12625.t1/112-173 dlx
dlx_Ci|699243467/155-216 dlx
dlx_La|919021370/121-182 dlx
dlx_Dm|Dll/124-185 dlx
dlx_Ct|ELU07960.1/3-64 dlx
dlx_Pc|957859116/115-176 dlx
dlx_Bf|XP_002612943.1/116-177 dlx
dlx_Hs|DLX1/128-189 dlx
dlx_Sp|193788683/134-195 dlx
dlx_Hs|DLX6/167-228 dlx
dlx_Of|1176056451/121-182 dlx
dlx_Hs|DLX4/117-178 dlx
dlx_p_nak|g1932.t1/231-292 dlx
dlx_Ci|74096285/239-300 dlx
dlx_Hs|DLX2/152-213 dlx
dlx_Hs|DLX5/137-198 dlx
dlx_d_gig|g16458.t1/46-107 dlx
dlx_Ep|XP_020905132.1/114-175 dlx
dlx_Ad|XP_015773236.1/121-182 dlx
dlx_Hs|DLX3/129-190 dlx
dlx_Nv|NVE8363/109-170 dlx
dlx_c_hem|XLOC_009976/118-179 dlx
dlx_m_vir|scaffold140.g36.t1/95-156 dlx
dlx_a_aur|scaffold74.g40.t2/78-139 dlx
dlx_Pd|XP_027049030.1/121-182 dlx
dlx_m_vir|scaffold140.g33.t1/118-179 dlx
dlx_a_aur|scaffold74.g38.t1/114-175 dlx
dlx_Ci|74096065/21-82 dlx
dlx_c_hem|XLOC_000289/198-259 dlx
dlx_Hv|449678276/149-210 dlx
dlx_Hv|828196478/153-214 dlx
dlx_Ce|ceh-43/102-163 dlx
emx_Pc|957835296/159-220 emx
emx_Sk|259013305/85-146 emx
emx_Sp|72087106/213-274 emx
emx_La|919045671/159-220 emx
emx_Hs|EMX2/154-215 emx
emx_Pa|g946.t1/162-223 emx
emx_Pc|957846920/221-282 emx
emx_Dm|E5/303-364 emx
emx_Ct|ELU15122.1/176-237 emx
emx_Ci|198419009/336-397 emx
emx_Ct|ELU15123.1/100-161 emx
emx_Bf|XP_002610877.1/118-179 emx
emx_Hs|EMX1/192-253 emx
emx_Cg|762144619/155-216 emx
emx_Bf|XP_002601120.1/182-243 emx
emx_Dm|ems/388-449 emx
emx_Ep|XP_020913842.1/94-155 emx
emx_Of|1176090567/95-156 emx
emx_Cg|762153098/167-228 emx
emx_Cg|762153100/204-265 emx
emx_Bf|XP_002610876.1/160-221 emx
emx_Nv|NVE20996/91-152 emx
emx_Ad|XP_015754830.1/96-157 emx
emx_Ac|524909301/350-411 emx
emx_Pd|XP_027041987.1/95-156 emx
emx_Ce|ceh-2/126-187 emx
emx_Ep|XP_020902127.1/129-190 emx
emx_Nv|NVE7871/23-84 emx
emx_Of|1176084973/125-186 emx
emx_Ad|XP_015769948.1/130-191 emx
emx_Pd|XP_027055841.1/126-187 emx
emx_a_aur|scaffold287.g5.t1/173-234 emx
emx_m_vir|scaffold5.g160.t1/145-206 emx
emx_d_gig|g32498.t1/141-202 emx
emx_c_hem|XLOC_034200/305-366 emx
emx_Xb|g13729.t1/181-242 emx
en_Cg|762152874/126-187 en
en_Cg|762152870/141-202 en
en_La|919012915/172-233 en
en_Ce|ceh-16/87-148 en
en_Bf|XP_002612940.1/17-78 en
en_Dm|en/454-515 en
en_Dm|inv/471-532 en
en_Hs|EN2/244-305 en
en_Pa|g11996.t1/101-162 en
en_Pc|957836752/180-241 en
en_La|919079028/320-381 en
en_Hs|EN1/303-364 en
en_Sk|259013255/192-253 en
en_Ac|871242003/890-951 en
en_Sp|72021185/135-196 en
en_Ct|ELT88638.1/142-203 en
en_Ct|ELT88639.1/208-269 en
en_Ci|74096119/261-322 en
eve_Bf|XP_002612702.1/50-111 eve
eve_Nv|NVE21280/70-131 eve
eve_Cg|762088633/76-137 eve
eve_Sk|284005082/119-180 eve
eve_Ep|XP_020893171.1/89-150 eve
eve_Hs|EVX2/188-249 eve
eve_Pd|XP_027048254.1/108-169 eve
eve_Of|1176091627/133-194 eve
eve_Ad|XP_015773673.1/105-166 eve
eve_Ac|871224537/704-765 eve
eve_La|919036301/77-138 eve
eve_Sp|47551271/145-206 eve
eve_Bf|XP_002612703.1/146-207 eve
eve_p_nak|g22828.t1/101-162 eve
eve_Dm|eve/70-131 eve
eve_Pa|g12002.t1/55-116 eve
eve_Cg|762088639/101-162 eve
eve_Pc|957821661/78-139 eve
eve_Ce|vab-7/68-129 eve
eve_Ci|459175111/61-122 eve
eve_Ci|118343765/181-242 eve
gbx_Ct|ELU01908.1/153-214 gbx
gbx_Bf|XP_002603955.1/151-212 gbx
gbx_Sk|259013281/186-247 gbx
gbx_Nv|NVE20684/131-192 gbx
gbx_Pc|957856139/125-186 gbx
gbx_La|919101503/243-304 gbx
gbx_Of|1176056188/123-184 gbx
gbx_d_gig|g19972.t1/137-198 gbx
gbx_Dm|unpg/319-380 gbx
gbx_Pd|XP_027048354.1/120-181 gbx
gbx_Ad|XP_015751476.1/119-180 gbx
gbx_Cg|762152856/213-274 gbx
gbx_Ep|XP_020917364.1/123-184 gbx
gbx_Sp|390332141/283-344 gbx
gbx_Ac|524896413/272-333 gbx
gbx_d_gig|g19971.t1/135-196 gbx
gsx_Ad|XP_015763497.1/127-188 gsx
gsx_Nv|NVE11718/61-122 gsx
gsx_Of|1176083746/125-186 gsx
gsx_Ep|XP_020917496.1/125-186 gsx
gsx_Pd|XP_027042680.1/126-187 gsx
gsx_c_hem|XLOC_032060/198-259 gsx
gsx_a_aur|scaffold56.g37.t1/157-218 gsx
gsx_m_vir|scaffold348.g20.t1/163-224 gsx
gsx_Hv|567757520/181-242 gsx
gsx_Ta|XP_002118201.1/125-186 gsx
gsx_d_gig|g12182.t1/120-181 gsx
gsx_Pc|957817645/175-236 gsx
gsx_Pa|g17688.t1/129-190 gsx
gsx_Sp|390349947/199-260 gsx
gsx_La|918995873/165-226 gsx
gsx_Ct|ELT90777.1/180-241 gsx
gsx_Cg|762087681/159-220 gsx
gsx_Hs|GSX1/147-208 gsx
gsx_Hs|GSX2/202-263 gsx
gsx_Sk|585720741/161-222 gsx
gsx_Dm|ind/227-288 gsx
gsx_Ac|524872896/222-283 gsx
gsx_p_nak|g16172.t1/145-206 gsx
hex_Bf|XP_002607945.1/145-206 hex
hex_Pa|g1828.t1/139-200 hex
hex_m_vir|scaffold11.g90.t1/181-242 hex
hex_d_gig|g26520.t1/128-189 hex
hex_Ci|118343820/263-324 hex
hex_Sk|259013390/154-215 hex
hex_Sp|390335215/188-249 hex
hex_Pc|957831262/153-214 hex
hex_La|919057325/216-277 hex
hex_Hs|HHEX/137-198 hex
hex_Cg|762153104/181-242 hex
hex_Ct|ELT99309.1/4-65 hex
hex_a_aur|scaffold82.g15.t1/168-229 hex
hex_Dm|HHEX/194-255 hex
hex_Of|1176088016/110-171 hex
hex_Ep|XP_020900253.1/120-181 hex
hex_Pd|XP_027058813.1/110-171 hex
hex_Ad|XP_015768486.1/111-172 hex
hex_Hv|828215739/189-250 hex
hex_Nv|NVE2043/115-176 hex
hex_Ce|pha-2/76-137 hex
hlx_Hs|HLX/276-337 hlx
hlx_Pa|g2601.t1/72-133 hlx
hlx_Cg|762120174/197-258 hlx
hlx_Ac|871251133/304-365 hlx
hlx_Pc|957843572/214-275 hlx
hlx_Sk|585659728/171-232 hlx
hlx_Ct|ELU12918.1/37-98 hlx
hlx_Bf|XP_002604431.1/221-282 hlx
hlx_La|919067215/216-277 hlx
hlx_Sp|390344937/370-431 hlx
hlx_Dm|H2.0/295-356 hlx
hlx_m_vir|scaffold95.g3.t1/194-255 hlx
hlx_Nv|NVE20629/142-203 hlx
hlx_Of|1176085538/142-203 hlx
hlx_d_gig|g16587.t1/140-201 hlx
hlx_Ep|XP_020893172.1/147-208 hlx
hlx_Ep|XP_020902625.1/165-226 hlx
hlx_Pd|XP_027040613.1/145-206 hlx
hlx_Of|1176078823/144-205 hlx
hlx_Pd|XP_027055733.1/144-205 hlx
hlx_Ci|118343830/467-528 hlx
hlx_Nv|NVE11319/163-224 hlx
hlx_Ep|XP_020917433.1/109-170 hlx
hlx_Ad|XP_015766133.1/135-196 hlx
hlx_Pd|XP_027045176.1/99-160 hlx
hlx_Of|1176082576/115-176 hlx
hlx_Ad|XP_015766136.1/116-177 hlx
hlx_Nv|NVE16411/100-161 hlx
hlx_Ep|XP_020903830.1/129-190 hlx
hmx_Hs|HMX2/149-210 hmx
hmx_Pc|957850707/200-261 hmx
hmx_Sp|47551103/253-314 hmx
hmx_Pa|g2846.t1/167-228 hmx
hmx_Ct|ELU04136.1/2-63 hmx
hmx_Hs|HMX3/227-288 hmx
hmx_Sk|291223907/181-242 hmx
hmx_La|919040875/202-263 hmx
hmx_c_hem|XLOC_043454/57-118 hmx
hmx_Cg|762091785/189-250 hmx
hmx_Cg|762147346/105-166 hmx
hmx_d_gig|g26537.t1/115-176 hmx
hmx_Of|1176088000/104-165 hmx
hmx_Ep|XP_020900234.1/111-172 hmx
hmx_Ad|XP_015768461.1/102-163 hmx
hmx_Nv|NVE20898/109-170 hmx
hmx_Pd|XP_027058794.1/105-166 hmx
hmx_Dm|Hmx/468-529 hmx
hmx_a_aur|scaffold27.g128.t1/163-224 hmx
hmx_Hs|HMX1/203-264 hmx
hmx_c_hem|XLOC_030138/70-131 hmx
hmx_Ct|ELU04137.1/2-63 hmx
hmx_Ce|mls-2/201-262 hmx
hmx_p_nak|g43311.t1/211-272 hmx
hmx_Ta|XP_002116705.1/100-161 hmx
hox-c_Sk|259013408/148-209 hox-c
hox-c_Hs|HOXB7/137-198 hox-c
hox-c_Dm|Antp/297-358 hox-c
hox-c_Bf|XP_002612714.1/134-195 hox-c
hox-c_Hs|HOXA7/130-191 hox-c
hox-c_Ac|871273055/427-488 hox-c
hox-c_Ac|871273049/20-81 hox-c
hox-c_Hs|HOXB6/210-271 hox-c
hox-c_Ct|ELT91883.1/13-74 hox-c
hox-c_Cg|762122401/190-251 hox-c
hox-c_La|919031010/176-237 hox-c
hox-c_Ci|459186880/44-105 hox-c
hox-c_Pa|g5416.t1/167-228 hox-c
hox-c_Pa|g5417.t1/117-178 hox-c
hox-c_Hs|HOXA6/155-216 hox-c
hox-c_La|919038213/306-367 hox-c
hox-c_Sp|390351573/192-253 hox-c
hox-c_La|919031054/194-255 hox-c
hox-c_Sk|259013406/151-212 hox-c
hox-c_Sp|47551093/190-251 hox-c
hox-c_Hs|HOXC6/141-202 hox-c
hox-c_Ct|ELT91881.1/205-266 hox-c
hox-c_Dm|Scr/324-385 hox-c
hox-c_Sk|259013344/152-213 hox-c
hox-c_Ci|74096097/142-203 hox-c
hox-c_Bf|XP_002612715.1/45-106 hox-c
hox-c_Ct|ELT91882.1/180-241 hox-c
hox-c_Sk|259013356/184-245 hox-c
hox-c_Hs|HOXB8/146-207 hox-c
hox-c_Dm|abd-A/398-459 hox-c
hox-c_Hs|HOXB5/194-255 hox-c
hox-c_Sp|390351575/189-250 hox-c
hox-c_Hs|HOXC8/149-210 hox-c
hox-c_Pa|g5418.t1/105-166 hox-c
hox-c_Cg|762122397/187-248 hox-c
hox-c_Ct|ELU05026.1/170-231 hox-c
hox-c_Dm|Ubx/295-356 hox-c
hox-c_Sk|291221533/162-223 hox-c
hox-c_Ct|ELT91884.1/6-67 hox-c
hox-c_Hs|HOXD8/197-258 hox-c
hox-c_p_nak|g17009.t1/295-356 hox-c
hox-c_Hs|HOXC5/155-216 hox-c
hox-c_Ac|524911390/72-133 hox-c
hox-c_Cg|762144595/172-233 hox-c
hox-c_Sp|390351577/206-267 hox-c
hox-c_Ac|524912225/16-77 hox-c
hox-c_La|919038209/171-232 hox-c
hox-c_Pc|957821063/44-105 hox-c
hox-c_Dm|ftz/254-315 hox-c
hox-p_Sk|585645547/272-333 hox-p
hox-p_Hs|HOXB9/185-246 hox-p
hox-p_Hs|HOXC9/192-253 hox-p
hox-p_Hs|HOXC10/268-329 hox-p
hox-p_Hs|HOXD9/285-346 hox-p
hox-p_Hs|HOXA9/206-267 hox-p
hox-p_Hs|HOXA10/336-397 hox-p
hox-p_Hs|HOXD10/266-327 hox-p
hox-p_Bf|XP_002612712.1/7-68 hox-p
hox-p_Sk|259013412/148-209 hox-p
hox-p_Bf|XP_002612711.1/9-70 hox-p
hox-p_Bf|XP_002612710.1/10-71 hox-p
hox-p_Sp|780155006/171-232 hox-p
hox-p_Pc|957821065/228-289 hox-p
hox-p_p_nak|g54685.t1/62-123 hox-p
hox-p_Hs|HOXD11/266-327 hox-p
hox-p_Dm|Abd-B/387-448 hox-p
hox-p_Ci|74096477/254-315 hox-p
hox-p_Ce|php-3/199-260 hox-p
hox-p_Hs|HOXC11/232-293 hox-p
hox-p_Hs|HOXA11/241-302 hox-p
hox-p_Sk|259013346/159-220 hox-p
hox-p_Sp|47551187/194-255 hox-p
hox-p_Sp|780000842/206-267 hox-p
hox-p_Sk|259013414/153-214 hox-p
hox-p_Bf|XP_002612709.1/12-73 hox-p
hox-p_Cg|762164605/174-235 hox-p
hox-p_La|919038274/187-248 hox-p
hox-p_Sp|115722910/220-281 hox-p
hox-p_Ct|ELU05027.1/6-67 hox-p
hox-p_Pa|g5419.t1/147-208 hox-p
hox-p_Ac|524898455/185-246 hox-p
hox-p_Cg|762164599/129-190 hox-p
hox-p_Hs|HOXC12/214-275 hox-p
hox-p_Ci|193083021/29-90 hox-p
hox-p_Sk|585717292/167-228 hox-p
hox-p_Hs|HOXD12/202-263 hox-p
hox-p_Ci|118343828/390-451 hox-p
hox-p_La|919038231/208-269 hox-p
hox-p_Hs|HOXC13/260-321 hox-p
hox-p_Hs|HOXA13/322-383 hox-p
hox-p_Ce|nob-1/137-198 hox-p
hox-p_Hs|HOXD13/276-337 hox-p
hox-p_Hs|HOXB13/216-277 hox-p
hox-p_Bf|XP_002612707.1/2-63 hox-p
hox-p_Ce|egl-5/112-173 hox-p
hox1_m_vir|scaffold70.g42.t1/104-165 hox1
hox1_a_aur|scaffold7.g66.t1/109-170 hox1
hox1_Ep|XP_020896877.1/132-193 hox1
hox1_d_gig|g16948.t1/171-232 hox1
hox1_Pd|XP_027048337.1/138-199 hox1
hox1_Ad|XP_015773681.1/141-202 hox1
hox1_Of|1176091661/141-202 hox1
hox1_c_hem|XLOC_038841/208-269 hox1
hox1_La|919031013/289-350 hox1
hox1_Bf|XP_002612719.1/205-266 hox1
hox1_Ac|524903938/28-89 hox1
hox1_a_aur|scaffold6.g77.t1/175-236 hox1
hox1_Sp|115722908/250-311 hox1
hox1_Pa|g5412.t1/207-268 hox1
hox1_Cg|762084569/202-263 hox1
hox1_p_nak|g27202.t1/462-523 hox1
hox1_Pc|957843355/252-313 hox1
hox1_m_vir|scaffold27.g7.t1/141-202 hox1
hox1_Ct|ELT91875.1/220-281 hox1
hox1_Dm|lab/501-562 hox1
hox1_Ci|193083003/234-295 hox1
hox1_Hs|HOXA1/229-290 hox1
hox1_Sk|259013352/232-293 hox1
hox1_Hs|HOXB1/203-264 hox1
hox1_Hv|221123759/161-222 hox1
hox1_Ce|ceh-13/114-175 hox1
hox2_Sk|259013404/111-172 hox2
hox2_Ci|459173476/242-303 hox2
hox2_Hs|HOXB2/143-204 hox2
hox2_Dm|pb/198-259 hox2
hox2_Pc|957843349/119-180 hox2
hox2_Cg|762084572/718-779 hox2
hox2_Pa|g5413.t1/48-109 hox2
hox2_Ac|871270730/332-393 hox2
hox2_La|919031031/134-195 hox2
hox2_Bf|XP_002612718.1/1-62 hox2
hox2_Sp|780155017/137-198 hox2
hox3_Bf|XP_002612717.1/231-292 hox3
hox3_Ct|ELT91878.1/34-95 hox3
hox3_La|919031050/166-227 hox3
hox3_Pc|957865268/153-214 hox3
hox3_Ac|524884693/9-70 hox3
hox3_Pa|g5414.t1/121-182 hox3
hox3_Cg|762084578/158-219 hox3
hox3_Hs|HOXD3/194-255 hox3
hox3_Hs|HOXA3/191-252 hox3
hox3_Hs|HOXB3/335-396 hox3
hox3_Sp|390351581/246-307 hox3
hox3_Sk|259013342/135-196 hox3
hox4_Dm|Dfd/366-427 hox4
hox4_Hs|HOXD4/154-215 hox4
hox4_Hs|HOXA4/215-276 hox4
hox4_Hs|HOXC4/156-217 hox4
hox4_Hs|HOXB4/162-223 hox4
hox4_La|919100760/147-208 hox4
hox4_Pc|957821057/155-216 hox4
hox4_Cg|762084580/157-218 hox4
hox4_Ct|ELT91880.1/148-209 hox4
hox4_Ci|148229589/109-170 hox4
hox4_Pa|g5415.t1/134-195 hox4
hox4_Bf|XP_002612716.1/171-232 hox4
hox4_Sk|259013356/184-245 hox4
hox4_Pc|957828359/196-257 hox4
lbx_Ep|XP_020899898.1/129-190 lbx
lbx_Nv|NVE20146/19-80 lbx
lbx_Sp|72099788/144-205 lbx
lbx_d_gig|g26452.t1/170-231 lbx
lbx_Dm|lbl/251-312 lbx
lbx_Ci|459176725/250-311 lbx
lbx_Ac|524864205/314-375 lbx
lbx_Sk|259013514/167-228 lbx
lbx_Bf|XP_002609065.1/135-196 lbx
lbx_Dm|lbe/353-414 lbx
lbx_La|919082773/174-235 lbx
lbx_Pa|g2778.t1/221-282 lbx
lbx_Cg|762076498/189-250 lbx
lbx_Hs|LBX1/125-186 lbx
lbx_Ct|ELU03844.1/13-74 lbx
lbx_Of|1176105761/119-180 lbx
lbx_Pd|XP_027041580.1/119-180 lbx
lbx_Ad|XP_015770678.1/118-179 lbx
lbx_Hs|LBX2/85-146 lbx
lms_Sk|585643709/48-109 lms
lms_Bf|XP_002612941.1/143-204 lms
lms_Pc|957834280/108-169 lms
lms_Ci|118343904/270-331 lms
lms_Dm|lms/86-147 lms
lms_d_gig|g32505.t1/101-162 lms
lms_Of|1176056482/88-149 lms
lms_Ad|XP_015773242.1/90-151 lms
lms_Of|1176056582/98-159 lms
lms_Ep|XP_020905137.1/92-153 lms
lms_Pd|XP_027048965.1/98-159 lms
lms_Nv|NVE13742/96-157 lms
lms_Pd|XP_027049008.1/83-144 lms
lms_d_gig|g32506.t1/105-166 lms
lms_Ep|XP_020905126.1/93-154 lms
meox_Bf|XP_002612684.1/145-206 meox
meox_Hs|MEOX2/187-248 meox
meox_Sk|259013396/171-232 meox
meox_Sp|390332127/197-258 meox
meox_Hs|MEOX1/171-232 meox
meox_Ct|ELU03930.1/119-180 meox
meox_d_gig|g16398.t1/145-206 meox
meox_Pc|957838391/173-234 meox
meox_Ac|524903207/217-278 meox
meox_Cg|762099831/172-233 meox
meox_La|918998449/171-232 meox
meox_Pa|g4444.t1/140-201 meox
meox_a_aur|scaffold195.g15.t1/25-86 meox
meox_Of|1176104492/129-190 meox
meox_Ep|XP_020895075.1/129-190 meox
meox_Pd|XP_027053895.1/129-190 meox
meox_Nv|NVE10744/126-187 meox
meox_Nv|NVE10742/142-203 meox
meox_m_vir|scaffold59.g41.t1/174-235 meox
meox_Ad|XP_015756970.1/126-187 meox
meox_Pd|XP_027053907.1/132-193 meox
meox_Ep|XP_020895097.1/135-196 meox
meox_Ad|XP_015756972.1/130-191 meox
meox_Of|1176104527/131-192 meox
meox_Ep|XP_020895089.1/155-216 meox
meox_Nv|NVE10741/145-206 meox
meox_Hv|828203653/175-236 meox
meox_Pd|XP_027053919.1/129-190 meox
meox_Of|1176104531/132-193 meox
meox_Of|1176104525/156-217 meox
meox_Ad|XP_015756971.1/131-192 meox
meox_Nv|NVE10743/126-187 meox
meox_Ep|XP_020895074.1/144-205 meox
meox_Dm|btn/86-147 meox
mnx_Sp|390337673/202-263 mnx
mnx_Bf|XP_002592170.1/155-216 mnx
mnx_Sk|261245043/158-219 mnx
mnx_Xb|g679.t1/5-66 mnx
mnx_Dm|exex/439-500 mnx
mnx_Cg|762102118/201-262 mnx
mnx_La|919011454/214-275 mnx
mnx_Ci|193083103/335-396 mnx
mnx_Hs|MNX1/241-302 mnx
mnx_Pa|g5224.t1/148-209 mnx
mnx_Ad|XP_015773676.1/103-164 mnx
mnx_Of|1176091667/117-178 mnx
mnx_Ep|XP_020898724.1/101-162 mnx
mnx_Pd|XP_027048283.1/113-174 mnx
mnx_Nv|NVE21291/106-167 mnx
msx_c_hem|XLOC_035505/133-194 msx
msx_Hv|828194280/160-221 msx
msx_Bf|XP_002607933.1/152-213 msx
msx_Ad|XP_015770686.1/117-178 msx
msx_Ct|ELT89775.1/163-224 msx
msx_Sp|47551195/178-239 msx
msx_Sk|259013392/177-238 msx
msx_Pd|XP_027041567.1/117-178 msx
msx_Ep|XP_020897351.1/120-181 msx
msx_Cg|762075141/185-246 msx
msx_Hs|MSX2/142-203 msx
msx_Nv|NVE20892/130-191 msx
msx_La|919082770/169-230 msx
msx_Pa|g8630.t1/189-250 msx
msx_d_gig|g30987.t1/122-183 msx
msx_Ce|vab-15/129-190 msx
msx_Dm|Dr/421-482 msx
msx_Hs|MSX1/172-233 msx
msx_Pc|957816416/149-210 msx
msx_Ci|74096091/181-242 msx
msxlx_La|919042556/208-269 msxlx
msxlx_Of|1176110230/176-237 msxlx
msxlx_Pa|g118.t1/207-268 msxlx
msxlx_Bf|XP_002597186.1/187-248 msxlx
msxlx_Pd|XP_027038895.1/95-156 msxlx
msxlx_Ep|XP_020911937.1/103-164 msxlx
msxlx_Ac|524886526/219-280 msxlx
msxlx_Ad|XP_015761316.1/147-208 msxlx
msxlx_Cg|762111073/168-229 msxlx
msxlx_Ad|XP_015761318.1/99-160 msxlx
msxlx_Pc|957830641/164-225 msxlx
msxlx_Sp|390344123/219-280 msxlx
msxlx_Sk|291242574/229-290 msxlx
msxlx_m_vir|scaffold188.g35.t1/109-170 msxlx
msxlx_d_gig|g32493.t1/60-121 msxlx
